local-authority-code,section,max_score,score
ABC,s1_gov,21,0.0
ABC,s2_m&a,18,0.0
ABC,s3_c&a,7,0.0
ABC,s4_coms,9,0.0
ABC,s5_mset,5,0.0
ABC,s6_cb,4,0.0
ABC,s7_dsi,5,0.0
ABC,s8_est,5,0.0
ABC,s9_ee,4,0.0
ABD,s1_gov,21,0.0
ABD,s2_m&a,18,0.0
ABD,s3_c&a,7,0.0
ABD,s4_coms,9,0.0
ABD,s5_mset,5,0.0
ABD,s6_cb,4,0.0
ABD,s7_dsi,5,0.0
ABD,s8_est,5,0.0
ABD,s9_ee,4,0.0
ABE,s1_gov,21,10.0
ABE,s2_m&a,18,9.0
ABE,s3_c&a,7,3.0
ABE,s4_coms,9,4.0
ABE,s5_mset,5,2.0
ABE,s6_cb,4,2.0
ABE,s7_dsi,5,0.0
ABE,s8_est,5,1.0
ABE,s9_ee,4,0.0
ADU,s1_gov,21,13.0
ADU,s2_m&a,18,12.0
ADU,s3_c&a,7,2.0
ADU,s4_coms,9,5.0
ADU,s5_mset,5,3.0
ADU,s6_cb,4,3.0
ADU,s7_dsi,5,2.0
ADU,s8_est,5,3.0
ADU,s9_ee,4,2.0
AGB,s1_gov,21,11.0
AGB,s2_m&a,18,8.0
AGB,s3_c&a,7,2.0
AGB,s4_coms,9,4.0
AGB,s5_mset,5,2.0
AGB,s6_cb,4,2.0
AGB,s7_dsi,5,1.0
AGB,s8_est,5,0.0
AGB,s9_ee,4,1.0
AGY,s1_gov,21,0.0
AGY,s2_m&a,18,0.0
AGY,s3_c&a,7,0.0
AGY,s4_coms,9,0.0
AGY,s5_mset,5,0.0
AGY,s6_cb,4,0.0
AGY,s7_dsi,5,0.0
AGY,s8_est,5,0.0
AGY,s9_ee,4,0.0
ALL,s1_gov,21,13.0
ALL,s2_m&a,18,12.0
ALL,s3_c&a,7,3.0
ALL,s4_coms,9,5.0
ALL,s5_mset,5,3.0
ALL,s6_cb,4,2.0
ALL,s7_dsi,5,2.0
ALL,s8_est,5,4.0
ALL,s9_ee,4,2.0
AMB,s1_gov,21,5.0
AMB,s2_m&a,18,1.0
AMB,s3_c&a,7,1.0
AMB,s4_coms,9,1.0
AMB,s5_mset,5,2.0
AMB,s6_cb,4,2.0
AMB,s7_dsi,5,1.0
AMB,s8_est,5,0.0
AMB,s9_ee,4,3.0
AND,s1_gov,21,7.0
AND,s2_m&a,18,0.0
AND,s3_c&a,7,6.0
AND,s4_coms,9,4.0
AND,s5_mset,5,0.0
AND,s6_cb,4,1.0
AND,s7_dsi,5,0.0
AND,s8_est,5,2.0
