local-authority-code,section,max_score,score
AND,s9_ee,4,1.0
ANN,s1_gov,21,0.0
ANN,s2_m&a,18,0.0
ANN,s3_c&a,7,0.0
ANN,s4_coms,9,0.0
ANN,s5_mset,5,0.0
ANN,s6_cb,4,0.0
ANN,s7_dsi,5,0.0
ANN,s8_est,5,0.0
ANN,s9_ee,4,0.0
ANS,s1_gov,21,0.0
ANS,s2_m&a,18,0.0
ANS,s3_c&a,7,0.0
ANS,s4_coms,9,0.0
ANS,s5_mset,5,0.0
ANS,s6_cb,4,0.0
ANS,s7_dsi,5,0.0
ANS,s8_est,5,0.0
ANS,s9_ee,4,0.0
ARU,s1_gov,21,0.0
ARU,s2_m&a,18,0.0
ARU,s3_c&a,7,0.0
ARU,s4_coms,9,0.0
ARU,s5_mset,5,0.0
ARU,s6_cb,4,0.0
ARU,s7_dsi,5,0.0
ARU,s8_est,5,0.0
ARU,s9_ee,4,0.0
ASF,s1_gov,21,9.0
ASF,s2_m&a,18,11.0
ASF,s3_c&a,7,6.0
ASF,s4_coms,9,7.0
ASF,s5_mset,5,1.0
ASF,s6_cb,4,4.0
ASF,s7_dsi,5,1.0
ASF,s8_est,5,1.0
ASF,s9_ee,4,3.0
ASH,s1_gov,21,0.0
ASH,s2_m&a,18,0.0
ASH,s3_c&a,7,0.0
ASH,s4_coms,9,0.0
ASH,s5_mset,5,0.0
ASH,s6_cb,4,0.0
ASH,s7_dsi,5,0.0
ASH,s8_est,5,0.0
ASH,s9_ee,4,0.0
BAB,s1_gov,21,14.0
BAB,s2_m&a,18,13.0
BAB,s3_c&a,7,5.0
BAB,s4_coms,9,6.0
BAB,s5_mset,5,2.0
BAB,s6_cb,4,2.0
BAB,s7_dsi,5,0.0
BAB,s8_est,5,3.0
BAB,s9_ee,4,3.0
BAE,s1_gov,21,0.0
BAE,s2_m&a,18,0.0
BAE,s3_c&a,7,0.0
BAE,s4_coms,9,0.0
BAE,s5_mset,5,0.0
BAE,s6_cb,4,0.0
BAE,s7_dsi,5,0.0
BAE,s8_est,5,0.0
BAE,s9_ee,4,0.0
BAI,s1_gov,21,9.0
BAI,s2_m&a,18,10.0
BAI,s3_c&a,7,5.0
BAI,s4_coms,9,6.0
BAI,s5_mset,5,3.0
BAI,s6_cb,4,2.0
BAI,s7_dsi,5,0.0
BAI,s8_est,5,1.0
BAI,s9_ee,4,2.0
BAN,s1_gov,21,13.0
BAN,s2_m&a,18,8.0
BAN,s3_c&a,7,6.0
BAN,s4_coms,9,5.0
BAN,s5_mset,5,4.0
BAN,s6_cb,4,2.0
BAN,s7_dsi,5,0.0
BAN,s8_est,5,2.0
BAN,s9_ee,4,2.0
BAR,s1_gov,21,5.0
BAR,s2_m&a,18,0.0
BAR,s3_c&a,7,3.0
BAR,s4_coms,9,3.0
BAR,s5_mset,5,2.0
BAR,s6_cb,4,1.0
BAR,s7_dsi,5,0.0
BAR,s8_est,5,0.0
BAR,s9_ee,4,0.0
BAS,s1_gov,21,7.0
BAS,s2_m&a,18,6.0
BAS,s3_c&a,7,3.0
BAS,s4_coms,9,8.0
BAS,s5_mset,5,4.0
BAS,s6_cb,4,0.0
BAS,s7_dsi,5,1.0
BAS,s8_est,5,3.0
BAS,s9_ee,4,3.0
BBD,s1_gov,21,8.0
BBD,s2_m&a,18,8.0
BBD,s3_c&a,7,3.0
BBD,s4_coms,9,6.0
BBD,s5_mset,5,3.0
BBD,s6_cb,4,3.0
BBD,s7_dsi,5,0.0
BBD,s8_est,5,0.0
BBD,s9_ee,4,2.0
BDF,s1_gov,21,13.0
BDF,s2_m&a,18,12.0
BDF,s3_c&a,7,6.0
BDF,s4_coms,9,6.0
BDF,s5_mset,5,2.0
BDF,s6_cb,4,2.0
BDF,s7_dsi,5,0.0
BDF,s8_est,5,3.0
BDF,s9_ee,4,2.0
BDG,s1_gov,21,5.0
BDG,s2_m&a,18,6.0
BDG,s3_c&a,7,3.0
BDG,s4_coms,9,3.0
BDG,s5_mset,5,2.0
BDG,s6_cb,4,3.0
BDG,s7_dsi,5,2.0
BDG,s8_est,5,0.0
BDG,s9_ee,4,2.0
BEN,s1_gov,21,14.0
BEN,s2_m&a,18,14.0
BEN,s3_c&a,7,6.0
BEN,s4_coms,9,6.0
BEN,s5_mset,5,2.0
BEN,s6_cb,4,4.0
BEN,s7_dsi,5,4.0
BEN,s8_est,5,4.0
BEN,s9_ee,4,3.0
BEX,s1_gov,21,0.0
BEX,s2_m&a,18,0.0
BEX,s3_c&a,7,0.0
BEX,s4_coms,9,0.0
BEX,s5_mset,5,0.0
BEX,s6_cb,4,0.0
BEX,s7_dsi,5,0.0
BEX,s8_est,5,0.0
BEX,s9_ee,4,0.0
BFS,s1_gov,21,4.0
BFS,s2_m&a,18,3.0
BFS,s3_c&a,7,2.0
BFS,s4_coms,9,2.0
BFS,s5_mset,5,1.0
BFS,s6_cb,4,2.0
BFS,s7_dsi,5,0.0
BFS,s8_est,5,1.0
BFS,s9_ee,4,0.0
BGE,s1_gov,21,0.0
BGE,s2_m&a,18,0.0
BGE,s3_c&a,7,0.0
BGE,s4_coms,9,0.0
BGE,s5_mset,5,0.0
BGE,s6_cb,4,0.0
BGE,s7_dsi,5,0.0
BGE,s8_est,5,0.0
BGE,s9_ee,4,0.0
BGW,s1_gov,21,2.0
BGW,s2_m&a,18,4.0
BGW,s3_c&a,7,0.0
BGW,s4_coms,9,2.0
BGW,s5_mset,5,4.0
BGW,s6_cb,4,1.0
BGW,s7_dsi,5,0.0
BGW,s8_est,5,0.0
BGW,s9_ee,4,0.0
BIR,s1_gov,21,11.0
BIR,s2_m&a,18,10.0
BIR,s3_c&a,7,4.0
BIR,s4_coms,9,5.0
BIR,s5_mset,5,3.0
BIR,s6_cb,4,3.0
BIR,s7_dsi,5,2.0
BIR,s8_est,5,2.0
BIR,s9_ee,4,2.0
BLA,s1_gov,21,11.0
BLA,s2_m&a,18,10.0
BLA,s3_c&a,7,4.0
BLA,s4_coms,9,7.0
BLA,s5_mset,5,5.0
BLA,s6_cb,4,2.0
BLA,s7_dsi,5,0.0
BLA,s8_est,5,3.0
BLA,s9_ee,4,1.0
BNE,s1_gov,21,0.0
BNE,s2_m&a,18,0.0
BNE,s3_c&a,7,0.0
BNE,s4_coms,9,0.0
BNE,s5_mset,5,0.0
BNE,s6_cb,4,0.0
BNE,s7_dsi,5,0.0
BNE,s8_est,5,0.0
BNE,s9_ee,4,0.0
BNH,s1_gov,21,11.0
BNH,s2_m&a,18,13.0
BNH,s3_c&a,7,3.0
BNH,s4_coms,9,8.0
BNH,s5_mset,5,4.0
BNH,s6_cb,4,3.0
BNH,s7_dsi,5,2.0
BNH,s8_est,5,3.0
BNH,s9_ee,4,4.0
BNS,s1_gov,21,8.0
BNS,s2_m&a,18,6.0
BNS,s3_c&a,7,4.0
BNS,s4_coms,9,5.0
BNS,s5_mset,5,4.0
BNS,s6_cb,4,2.0
BNS,s7_dsi,5,1.0
BNS,s8_est,5,1.0
BNS,s9_ee,4,1.0
BOL,s1_gov,21,4.0
BOL,s2_m&a,18,3.0
BOL,s3_c&a,7,5.0
BOL,s4_coms,9,6.0
BOL,s5_mset,5,2.0
BOL,s6_cb,4,3.0
BOL,s7_dsi,5,1.0
BOL,s8_est,5,3.0
BOL,s9_ee,4,2.0
BOS,s1_gov,21,7.0
BOS,s2_m&a,18,2.0
BOS,s3_c&a,7,3.0
BOS,s4_coms,9,4.0
BOS,s5_mset,5,1.0
BOS,s6_cb,4,3.0
BOS,s7_dsi,5,1.0
BOS,s8_est,5,2.0
BOS,s9_ee,4,1.0
BOT,s1_gov,21,0.0
BOT,s2_m&a,18,0.0
BOT,s3_c&a,7,2.0
BOT,s4_coms,9,3.0
BOT,s5_mset,5,1.0
BOT,s6_cb,4,0.0
BOT,s7_dsi,5,0.0
BOT,s8_est,5,0.0
BOT,s9_ee,4,1.0
BPC,s1_gov,21,10.0
BPC,s2_m&a,18,9.0
BPC,s3_c&a,7,4.0
BPC,s4_coms,9,6.0
BPC,s5_mset,5,4.0
BPC,s6_cb,4,2.0
BPC,s7_dsi,5,0.0
BPC,s8_est,5,0.0
BPC,s9_ee,4,3.0
BPL,s1_gov,21,10.0
BPL,s2_m&a,18,10.0
BPL,s3_c&a,7,4.0
BPL,s4_coms,9,9.0
BPL,s5_mset,5,3.0
BPL,s6_cb,4,2.0
BPL,s7_dsi,5,1.0
BPL,s8_est,5,4.0
BPL,s9_ee,4,3.0
BRA,s1_gov,21,5.0
BRA,s2_m&a,18,2.0
BRA,s3_c&a,7,3.0
BRA,s4_coms,9,7.0
BRA,s5_mset,5,3.0
BRA,s6_cb,4,3.0
BRA,s7_dsi,5,0.0
BRA,s8_est,5,2.0
BRA,s9_ee,4,1.0
BRC,s1_gov,21,7.0
BRC,s2_m&a,18,5.0
BRC,s3_c&a,7,2.0
BRC,s4_coms,9,1.0
BRC,s5_mset,5,3.0
BRC,s6_cb,4,0.0
BRC,s7_dsi,5,0.0
BRC,s8_est,5,0.0
BRC,s9_ee,4,0.0
BRD,s1_gov,21,2.0
BRD,s2_m&a,18,8.0
BRD,s3_c&a,7,1.0
BRD,s4_coms,9,1.0
BRD,s5_mset,5,2.0
BRD,s6_cb,4,0.0
BRD,s7_dsi,5,0.0
BRD,s8_est,5,3.0
BRD,s9_ee,4,1.0
BRE,s1_gov,21,7.0
BRE,s2_m&a,18,0.0
BRE,s3_c&a,7,2.0
BRE,s4_coms,9,3.0
BRE,s5_mset,5,1.0
BRE,s6_cb,4,0.0
BRE,s7_dsi,5,0.0
BRE,s8_est,5,1.0
BRE,s9_ee,4,1.0
BRM,s1_gov,21,2.0
BRM,s2_m&a,18,0.0
BRM,s3_c&a,7,0.0
BRM,s4_coms,9,3.0
BRM,s5_mset,5,1.0
BRM,s6_cb,4,0.0
BRM,s7_dsi,5,0.0
BRM,s8_est,5,1.0
BRM,s9_ee,4,0.0
BRO,s1_gov,21,0.0
BRO,s2_m&a,18,11.0
BRO,s3_c&a,7,4.0
BRO,s4_coms,9,1.0
BRO,s5_mset,5,1.0
BRO,s6_cb,4,1.0
BRO,s7_dsi,5,0.0
BRO,s8_est,5,0.0
BRO,s9_ee,4,4.0
BRT,s1_gov,21,5.0
BRT,s2_m&a,18,2.0
BRT,s3_c&a,7,3.0
BRT,s4_coms,9,4.0
BRT,s5_mset,5,2.0
BRT,s6_cb,4,1.0
BRT,s7_dsi,5,0.0
BRT,s8_est,5,2.0
BRT,s9_ee,4,0.0
BRW,s1_gov,21,0.0
BRW,s2_m&a,18,0.0
BRW,s3_c&a,7,0.0
BRW,s4_coms,9,0.0
BRW,s5_mset,5,0.0
BRW,s6_cb,4,0.0
BRW,s7_dsi,5,0.0
BRW,s8_est,5,0.0
BRW,s9_ee,4,0.0
BRX,s1_gov,21,6.0
BRX,s2_m&a,18,5.0
BRX,s3_c&a,7,6.0
BRX,s4_coms,9,3.0
BRX,s5_mset,5,1.0
BRX,s6_cb,4,0.0
BRX,s7_dsi,5,1.0
BRX,s8_est,5,0.0
BRX,s9_ee,4,1.0
BRY,s1_gov,21,14.0
BRY,s2_m&a,18,7.0
BRY,s3_c&a,7,5.0
BRY,s4_coms,9,5.0
BRY,s5_mset,5,4.0
BRY,s6_cb,4,3.0
BRY,s7_dsi,5,1.0
BRY,s8_est,5,1.0
BRY,s9_ee,4,3.0
BST,s1_gov,21,15.0
BST,s2_m&a,18,14.0
BST,s3_c&a,7,1.0
BST,s4_coms,9,5.0
BST,s5_mset,5,5.0
BST,s6_cb,4,4.0
BST,s7_dsi,5,1.0
BST,s8_est,5,5.0
BST,s9_ee,4,3.0
BUC,s1_gov,21,5.0
BUC,s2_m&a,18,11.0
BUC,s3_c&a,7,2.0
BUC,s4_coms,9,5.0
BUC,s5_mset,5,3.0
BUC,s6_cb,4,1.0
BUC,s7_dsi,5,0.0
BUC,s8_est,5,0.0
BUC,s9_ee,4,2.0
BUN,s1_gov,21,0.0
BUN,s2_m&a,18,0.0
BUN,s3_c&a,7,0.0
BUN,s4_coms,9,0.0
BUN,s5_mset,5,0.0
BUN,s6_cb,4,0.0
BUN,s7_dsi,5,0.0
BUN,s8_est,5,0.0
BUN,s9_ee,4,0.0
BUR,s1_gov,21,10.0
BUR,s2_m&a,18,18.0
BUR,s3_c&a,7,2.0
BUR,s4_coms,9,6.0
BUR,s5_mset,5,3.0
BUR,s6_cb,4,4.0
BUR,s7_dsi,5,2.0
BUR,s8_est,5,3.0
BUR,s9_ee,4,2.0
CAB,s1_gov,21,10.0
CAB,s2_m&a,18,13.0
CAB,s3_c&a,7,6.0
CAB,s4_coms,9,7.0
CAB,s5_mset,5,4.0
CAB,s6_cb,4,3.0
CAB,s7_dsi,5,3.0
CAB,s8_est,5,0.0
CAB,s9_ee,4,3.0
CAM,s1_gov,21,11.0
CAM,s2_m&a,18,12.0
CAM,s3_c&a,5,4.0
CAM,s4_coms,9,5.0
CAM,s5_mset,5,4.0
CAM,s6_cb,4,0.0
CAM,s7_dsi,5,0.0
CAM,s8_est,5,3.0
CAM,s9_ee,4,3.0
CAN,s1_gov,21,0.0
CAN,s2_m&a,18,0.0
CAN,s3_c&a,7,0.0
CAN,s4_coms,9,0.0
CAN,s5_mset,5,0.0
CAN,s6_cb,4,0.0
CAN,s7_dsi,5,0.0
CAN,s8_est,5,0.0
CAN,s9_ee,4,0.0
CAR,s1_gov,21,14.0
CAR,s2_m&a,18,5.0
CAR,s3_c&a,7,5.0
CAR,s4_coms,9,6.0
CAR,s5_mset,5,5.0
CAR,s6_cb,4,3.0
CAR,s7_dsi,5,0.0
CAR,s8_est,5,2.0
CAR,s9_ee,4,1.0
CAS,s1_gov,21,0.0
CAS,s2_m&a,18,0.0
CAS,s3_c&a,7,0.0
CAS,s4_coms,9,0.0
CAS,s5_mset,5,0.0
CAS,s6_cb,4,0.0
CAS,s7_dsi,5,0.0
CAS,s8_est,5,0.0
CAS,s9_ee,4,0.0
CAT,s1_gov,21,12.0
CAT,s2_m&a,18,11.0
CAT,s3_c&a,7,7.0
CAT,s4_coms,9,4.0
CAT,s5_mset,5,3.0
CAT,s6_cb,4,4.0
CAT,s7_dsi,5,1.0
CAT,s8_est,5,2.0
CAT,s9_ee,4,3.0
CAY,s1_gov,21,9.0
CAY,s2_m&a,18,7.0
CAY,s3_c&a,7,2.0
CAY,s4_coms,9,3.0
CAY,s5_mset,5,2.0
CAY,s6_cb,4,0.0
CAY,s7_dsi,5,0.0
CAY,s8_est,5,1.0
CAY,s9_ee,4,3.0
CBF,s1_gov,21,16.0
CBF,s2_m&a,18,11.0
CBF,s3_c&a,7,7.0
CBF,s4_coms,9,4.0
CBF,s5_mset,5,4.0
CBF,s6_cb,4,2.0
CBF,s7_dsi,5,1.0
CBF,s8_est,5,3.0
CBF,s9_ee,4,2.0
CCG,s1_gov,21,0.0
CCG,s2_m&a,18,0.0
CCG,s3_c&a,7,0.0
CCG,s4_coms,9,0.0
CCG,s5_mset,5,0.0
CCG,s6_cb,4,0.0
CCG,s7_dsi,5,0.0
CCG,s8_est,5,0.0
CCG,s9_ee,4,0.0
CGN,s1_gov,21,15.0
CGN,s2_m&a,18,4.0
CGN,s3_c&a,7,3.0
CGN,s4_coms,9,2.0
CGN,s5_mset,5,2.0
CGN,s6_cb,4,0.0
CGN,s7_dsi,5,0.0
CGN,s8_est,5,2.0
CGN,s9_ee,4,2.0
CHA,s1_gov,21,5.0
CHA,s2_m&a,18,3.0
CHA,s3_c&a,7,2.0
CHA,s4_coms,9,2.0
CHA,s5_mset,5,1.0
CHA,s6_cb,4,3.0
CHA,s7_dsi,5,0.0
CHA,s8_est,5,0.0
CHA,s9_ee,4,1.0
CHE,s1_gov,21,16.0
CHE,s2_m&a,18,12.0
CHE,s3_c&a,7,5.0
CHE,s4_coms,9,8.0
CHE,s5_mset,5,5.0
CHE,s6_cb,4,4.0
CHE,s7_dsi,5,0.0
CHE,s8_est,5,1.0
CHE,s9_ee,4,3.0
CHI,s1_gov,21,13.0
CHI,s2_m&a,18,10.0
CHI,s3_c&a,7,3.0
CHI,s4_coms,9,4.0
CHI,s5_mset,5,1.0
CHI,s6_cb,4,1.0
CHI,s7_dsi,5,1.0
CHI,s8_est,5,4.0
CHI,s9_ee,4,1.0
CHL,s1_gov,21,6.0
CHL,s2_m&a,18,3.0
CHL,s3_c&a,7,4.0
CHL,s4_coms,9,1.0
CHL,s5_mset,5,1.0
CHL,s6_cb,4,0.0
CHL,s7_dsi,5,0.0
CHL,s8_est,5,1.0
CHL,s9_ee,4,1.0
CHO,s1_gov,21,0.0
CHO,s2_m&a,18,0.0
CHO,s3_c&a,7,0.0
CHO,s4_coms,9,0.0
CHO,s5_mset,5,0.0
CHO,s6_cb,4,0.0
CHO,s7_dsi,5,0.0
CHO,s8_est,5,0.0
CHO,s9_ee,4,0.0
CHR,s1_gov,21,12.0
CHR,s2_m&a,18,8.0
CHR,s3_c&a,7,5.0
CHR,s4_coms,9,4.0
CHR,s5_mset,5,4.0
CHR,s6_cb,4,2.0
CHR,s7_dsi,5,0.0
CHR,s8_est,5,1.0
CHR,s9_ee,4,0.0
CHS,s1_gov,21,11.0
CHS,s2_m&a,18,4.0
CHS,s3_c&a,7,3.0
CHS,s4_coms,9,2.0
CHS,s5_mset,5,1.0
CHS,s6_cb,4,0.0
CHS,s7_dsi,5,0.0
CHS,s8_est,5,1.0
CHS,s9_ee,4,0.0
CHT,s1_gov,21,9.0
CHT,s2_m&a,18,4.0
CHT,s3_c&a,7,0.0
CHT,s4_coms,9,4.0
CHT,s5_mset,5,4.0
CHT,s6_cb,4,0.0
CHT,s7_dsi,5,0.0
CHT,s8_est,5,0.0
CHT,s9_ee,4,0.0
CHW,s1_gov,21,15.0
CHW,s2_m&a,18,13.0
CHW,s3_c&a,7,3.0
CHW,s4_coms,9,6.0
CHW,s5_mset,5,4.0
CHW,s6_cb,4,2.0
CHW,s7_dsi,5,2.0
CHW,s8_est,5,1.0
CHW,s9_ee,4,3.0
CLD,s1_gov,21,2.0
CLD,s2_m&a,18,9.0
CLD,s3_c&a,7,3.0
CLD,s4_coms,9,4.0
CLD,s5_mset,5,2.0
CLD,s6_cb,4,1.0
CLD,s7_dsi,5,0.0
CLD,s8_est,5,1.0
CLD,s9_ee,4,1.0
CLK,s1_gov,21,0.0
CLK,s2_m&a,18,0.0
CLK,s3_c&a,7,0.0
CLK,s4_coms,9,0.0
CLK,s5_mset,5,0.0
CLK,s6_cb,4,0.0
CLK,s7_dsi,5,0.0
CLK,s8_est,5,0.0
CLK,s9_ee,4,0.0
CMA,s1_gov,21,1.0
CMA,s2_m&a,18,0.0
CMA,s3_c&a,5,3.0
CMA,s4_coms,9,2.0
CMA,s5_mset,5,0.0
CMA,s6_cb,4,2.0
CMA,s7_dsi,5,0.0
CMA,s8_est,5,0.0
CMA,s9_ee,4,0.0
CMD,s1_gov,21,14.0
CMD,s2_m&a,18,6.0
CMD,s3_c&a,7,6.0
CMD,s4_coms,9,6.0
CMD,s5_mset,5,4.0
CMD,s6_cb,4,4.0
CMD,s7_dsi,5,1.0
CMD,s8_est,5,3.0
CMD,s9_ee,4,2.0
CMN,s1_gov,21,10.0
CMN,s2_m&a,18,2.0
CMN,s3_c&a,7,5.0
CMN,s4_coms,9,3.0
CMN,s5_mset,5,2.0
CMN,s6_cb,4,1.0
CMN,s7_dsi,5,0.0
CMN,s8_est,5,1.0
CMN,s9_ee,4,0.0
COL,s1_gov,21,10.0
COL,s2_m&a,18,5.0
COL,s3_c&a,7,6.0
COL,s4_coms,9,6.0
COL,s5_mset,5,3.0
COL,s6_cb,4,4.0
COL,s7_dsi,5,0.0
COL,s8_est,5,2.0
COL,s9_ee,4,2.0
CON,s1_gov,21,15.0
CON,s2_m&a,18,17.0
CON,s3_c&a,7,5.0
CON,s4_coms,9,7.0
CON,s5_mset,5,3.0
CON,s6_cb,4,3.0
CON,s7_dsi,5,1.0
CON,s8_est,5,3.0
CON,s9_ee,4,3.0
COP,s1_gov,21,8.0
COP,s2_m&a,18,1.0
COP,s3_c&a,7,2.0
COP,s4_coms,9,3.0
COP,s5_mset,5,1.0
COP,s6_cb,4,2.0
COP,s7_dsi,5,0.0
COP,s8_est,5,1.0
COP,s9_ee,4,2.0
COT,s1_gov,21,7.0
COT,s2_m&a,18,3.0
COT,s3_c&a,7,3.0
COT,s4_coms,9,5.0
COT,s5_mset,5,3.0
COT,s6_cb,4,3.0
COT,s7_dsi,5,0.0
COT,s8_est,5,2.0
COT,s9_ee,4,3.0
COV,s1_gov,21,0.0
COV,s2_m&a,18,0.0
COV,s3_c&a,7,0.0
COV,s4_coms,9,0.0
COV,s5_mset,5,0.0
COV,s6_cb,4,0.0
COV,s7_dsi,5,0.0
COV,s8_est,5,0.0
COV,s9_ee,4,0.0
CPCA,s1_gov,21,0.0
CPCA,s2_m&a,18,0.0
CPCA,s3_c&a,5,0.0
CPCA,s4_coms,9,0.0
CPCA,s5_mset,5,0.0
CPCA,s6_cb,4,0.0
CPCA,s7_dsi,5,0.0
CPCA,s8_est,5,0.0
CPCA,s9_ee,4,0.0
CRA,s1_gov,21,8.0
CRA,s2_m&a,18,6.0
CRA,s3_c&a,7,1.0
CRA,s4_coms,9,3.0
CRA,s5_mset,5,3.0
CRA,s6_cb,4,3.0
CRA,s7_dsi,5,2.0
CRA,s8_est,5,0.0
CRA,s9_ee,4,1.0
CRF,s1_gov,21,14.0
CRF,s2_m&a,18,16.0
CRF,s3_c&a,7,6.0
CRF,s4_coms,9,8.0
CRF,s5_mset,5,3.0
CRF,s6_cb,4,4.0
CRF,s7_dsi,5,0.0
CRF,s8_est,5,2.0
CRF,s9_ee,4,4.0
CRW,s1_gov,21,0.0
CRW,s2_m&a,18,0.0
CRW,s3_c&a,7,0.0
CRW,s4_coms,9,0.0
CRW,s5_mset,5,0.0
CRW,s6_cb,4,0.0
CRW,s7_dsi,5,0.0
CRW,s8_est,5,0.0
CRW,s9_ee,4,0.0
CRY,s1_gov,21,11.0
CRY,s2_m&a,18,8.0
CRY,s3_c&a,7,5.0
CRY,s4_coms,9,5.0
CRY,s5_mset,5,3.0
CRY,s6_cb,4,4.0
CRY,s7_dsi,5,3.0
CRY,s8_est,5,3.0
CRY,s9_ee,4,3.0
CWY,s1_gov,21,1.0
CWY,s2_m&a,18,0.0
CWY,s3_c&a,7,0.0
CWY,s4_coms,9,2.0
CWY,s5_mset,5,1.0
CWY,s6_cb,4,0.0
CWY,s7_dsi,5,0.0
CWY,s8_est,5,0.0
CWY,s9_ee,4,0.0
DAC,s1_gov,21,6.0
DAC,s2_m&a,18,5.0
DAC,s3_c&a,7,5.0
DAC,s4_coms,9,5.0
DAC,s5_mset,5,4.0
DAC,s6_cb,4,1.0
DAC,s7_dsi,5,0.0
DAC,s8_est,5,2.0
DAC,s9_ee,4,3.0
DAL,s1_gov,21,15.0
DAL,s2_m&a,18,11.0
DAL,s3_c&a,7,6.0
DAL,s4_coms,9,5.0
DAL,s5_mset,5,2.0
DAL,s6_cb,4,3.0
DAL,s7_dsi,5,2.0
DAL,s8_est,5,2.0
DAL,s9_ee,4,3.0
DAR,s1_gov,21,0.0
DAR,s2_m&a,18,0.0
DAR,s3_c&a,7,0.0
DAR,s4_coms,9,0.0
DAR,s5_mset,5,0.0
DAR,s6_cb,4,0.0
DAR,s7_dsi,5,0.0
DAR,s8_est,5,0.0
DAR,s9_ee,4,0.0
DBY,s1_gov,21,8.0
DBY,s2_m&a,18,4.0
DBY,s3_c&a,5,2.0
DBY,s4_coms,9,4.0
DBY,s5_mset,5,3.0
DBY,s6_cb,4,2.0
DBY,s7_dsi,5,1.0
DBY,s8_est,5,3.0
DBY,s9_ee,4,0.0
DEB,s1_gov,21,13.0
DEB,s2_m&a,18,9.0
DEB,s3_c&a,7,4.0
DEB,s4_coms,9,4.0
DEB,s5_mset,5,5.0
DEB,s6_cb,4,1.0
DEB,s7_dsi,5,1.0
DEB,s8_est,5,1.0
DEB,s9_ee,4,3.0
DEN,s1_gov,21,9.0
DEN,s2_m&a,18,3.0
DEN,s3_c&a,7,6.0
DEN,s4_coms,9,7.0
DEN,s5_mset,5,2.0
DEN,s6_cb,4,0.0
DEN,s7_dsi,5,0.0
DEN,s8_est,5,3.0
DEN,s9_ee,4,3.0
DER,s1_gov,21,0.0
DER,s2_m&a,18,0.0
DER,s3_c&a,7,0.0
DER,s4_coms,9,0.0
DER,s5_mset,5,0.0
DER,s6_cb,4,0.0
DER,s7_dsi,5,0.0
DER,s8_est,5,0.0
DER,s9_ee,4,0.0
DEV,s1_gov,21,8.0
DEV,s2_m&a,18,9.0
DEV,s3_c&a,5,2.0
DEV,s4_coms,9,8.0
DEV,s5_mset,5,2.0
DEV,s6_cb,4,2.0
DEV,s7_dsi,5,0.0
DEV,s8_est,5,2.0
DEV,s9_ee,4,3.0
DGY,s1_gov,21,14.0
DGY,s2_m&a,18,0.0
DGY,s3_c&a,7,1.0
DGY,s4_coms,9,1.0
DGY,s5_mset,5,2.0
DGY,s6_cb,4,0.0
DGY,s7_dsi,5,0.0
DGY,s8_est,5,1.0
DGY,s9_ee,4,0.0
DNC,s1_gov,21,7.0
